miR_ID,circbase_ID,Tot Score
hsa-miR-6870-5p,hsa_circ_0037995,4488
hsa-miR-6870-5p,hsa_circ_0037996,4488
hsa-miR-6870-5p,hsa_circ_0037997,4488
hsa-miR-1266-5p,hsa_circ_0002326,4446
hsa-miR-6757-5p,hsa_circ_0002326,4420
hsa-miR-5591-5p,hsa_circ_0041089,4382
hsa-miR-5591-5p,hsa_circ_0041099,4382
hsa-miR-5591-5p,hsa_circ_0041116,4382
hsa-miR-646,hsa_circ_0013876,4364
hsa-miR-1913,hsa_circ_0014209,4347
hsa-miR-1913,hsa_circ_0014210,4347
hsa-miR-6804-5p,hsa_circ_0038404,4289
hsa-miR-4518,hsa_circ_0002326,4201
hsa-miR-6756-3p,hsa_circ_0013876,4195
hsa-miR-4728-5p,hsa_circ_0002172,4141
hsa-miR-4728-5p,hsa_circ_0089776,4141
hsa-miR-4446-3p,hsa_circ_0013876,4128
hsa-miR-4498,hsa_circ_0013876,4099
hsa-miR-5088-3p,hsa_circ_0013876,4090
hsa-miR-6862-5p,hsa_circ_0013876,4082
hsa-miR-6133,hsa_circ_0041089,4061
hsa-miR-6133,hsa_circ_0041099,4061
hsa-miR-6133,hsa_circ_0041116,4061
hsa-miR-7111-5p,hsa_circ_0037995,4051
hsa-miR-7111-5p,hsa_circ_0037996,4051
hsa-miR-7111-5p,hsa_circ_0037997,4051
hsa-miR-4726-5p,hsa_circ_0044512,4028
hsa-miR-6767-5p,hsa_circ_0089792,4021
hsa-miR-4726-5p,hsa_circ_0044522,4012
hsa-miR-1185-1-3p,hsa_circ_0005461,4004
hsa-miR-4763-3p,hsa_circ_0082878,3983
hsa-miR-4763-3p,hsa_circ_0082879,3983
hsa-miR-4534,hsa_circ_0002326,3978
hsa-miR-324-3p,hsa_circ_0014209,3966
hsa-miR-324-3p,hsa_circ_0014210,3966
hsa-miR-3160-3p,hsa_circ_0038404,3959
hsa-miR-1249-5p,hsa_circ_0041089,3952
hsa-miR-1249-5p,hsa_circ_0041099,3952
hsa-miR-1249-5p,hsa_circ_0041116,3952
hsa-miR-6862-3p,hsa_circ_0020316,3935
hsa-miR-6794-5p,hsa_circ_0037995,3920
hsa-miR-6127,hsa_circ_0041089,3917
hsa-miR-6127,hsa_circ_0041099,3917
hsa-miR-6127,hsa_circ_0041116,3917
hsa-miR-6870-3p,hsa_circ_0013871,3912
hsa-miR-6832-3p,hsa_circ_0013871,3880
hsa-miR-4726-5p,hsa_circ_0044510,3867
hsa-miR-4726-5p,hsa_circ_0044511,3867
hsa-miR-4726-5p,hsa_circ_0044519,3867
hsa-miR-6882-3p,hsa_circ_0014209,3862
hsa-miR-6882-3p,hsa_circ_0014210,3862
hsa-miR-6881-3p,hsa_circ_0013876,3839
hsa-miR-8485,hsa_circ_0068939,3828
hsa-miR-8485,hsa_circ_0068940,3828
hsa-miR-93-3p,hsa_circ_0013876,3822
hsa-miR-6797-5p,hsa_circ_0041089,3809
hsa-miR-6797-5p,hsa_circ_0041099,3809
hsa-miR-6797-5p,hsa_circ_0041116,3809
hsa-miR-6848-5p,hsa_circ_0041089,3809
hsa-miR-6848-5p,hsa_circ_0041099,3809
hsa-miR-6848-5p,hsa_circ_0041116,3809
hsa-miR-4640-5p,hsa_circ_0044512,3795
hsa-miR-431-5p,hsa_circ_0013876,3775
hsa-miR-1199-5p,hsa_circ_0013876,3768
hsa-miR-361-3p,hsa_circ_0079070,3759
hsa-miR-6794-5p,hsa_circ_0037996,3757
hsa-miR-6794-5p,hsa_circ_0037997,3757
hsa-miR-5001-5p,hsa_circ_0013871,3756
hsa-miR-7113-3p,hsa_circ_0013876,3750
hsa-miR-6870-3p,hsa_circ_0013870,3749
hsa-miR-6893-3p,hsa_circ_0014209,3732
hsa-miR-6893-3p,hsa_circ_0014210,3732
hsa-miR-6784-3p,hsa_circ_0020316,3731
hsa-miR-370-3p,hsa_circ_0013876,3720
hsa-miR-6787-5p,hsa_circ_0002172,3720
hsa-miR-6787-5p,hsa_circ_0089776,3720
hsa-miR-1277-5p,hsa_circ_0007286,3714
hsa-miR-4726-5p,hsa_circ_0044518,3709
hsa-miR-181d-5p,hsa_circ_0073778,3702
hsa-miR-5004-5p,hsa_circ_0002326,3680
hsa-miR-1236-3p,hsa_circ_0013871,3678
hsa-miR-4726-5p,hsa_circ_0044524,3678
hsa-miR-769-5p,hsa_circ_0002172,3651
hsa-miR-769-5p,hsa_circ_0089776,3651
hsa-miR-6744-5p,hsa_circ_0002326,3648
hsa-miR-4640-5p,hsa_circ_0044510,3633
hsa-miR-4640-5p,hsa_circ_0044511,3633
hsa-miR-4640-5p,hsa_circ_0044519,3633
hsa-miR-4640-5p,hsa_circ_0044522,3629
hsa-miR-135b-3p,hsa_circ_0013871,3624
hsa-miR-4269,hsa_circ_0041122,3598
hsa-miR-5001-5p,hsa_circ_0013870,3594
hsa-miR-4682,hsa_circ_0048499,3587
hsa-miR-6795-5p,hsa_circ_0037995,3571
hsa-miR-6832-3p,hsa_circ_0013870,3564
hsa-miR-4691-5p,hsa_circ_0013871,3563
hsa-miR-4726-5p,hsa_circ_0044509,3559
hsa-miR-1915-3p,hsa_circ_0079070,3556
hsa-miR-6778-5p,hsa_circ_0002172,3552
hsa-miR-484,hsa_circ_0013871,3520
hsa-miR-4510,hsa_circ_0041089,3512
hsa-miR-4510,hsa_circ_0041099,3512
hsa-miR-4510,hsa_circ_0041116,3512
hsa-miR-4726-5p,hsa_circ_0044529,3505
hsa-miR-4726-5p,hsa_circ_0044536,3505
hsa-miR-6129,hsa_circ_0041089,3486
hsa-miR-6129,hsa_circ_0041099,3486
hsa-miR-6129,hsa_circ_0041116,3486
hsa-miR-4640-5p,hsa_circ_0044509,3476
hsa-miR-4640-5p,hsa_circ_0044518,3476
hsa-miR-4640-5p,hsa_circ_0044520,3476
hsa-miR-4731-3p,hsa_circ_0041122,3474
hsa-miR-135b-3p,hsa_circ_0013870,3473
hsa-miR-1233-5p,hsa_circ_0041089,3457
hsa-miR-1233-5p,hsa_circ_0041099,3457
hsa-miR-1233-5p,hsa_circ_0041116,3457
hsa-miR-6824-5p,hsa_circ_0052415,3450
hsa-miR-1277-5p,hsa_circ_0089771,3438
hsa-miR-6795-5p,hsa_circ_0037996,3415
hsa-miR-6795-5p,hsa_circ_0037997,3415
hsa-miR-4691-5p,hsa_circ_0013870,3410
hsa-miR-4726-5p,hsa_circ_0044520,3403
hsa-miR-181d-5p,hsa_circ_0073779,3396
hsa-miR-6778-5p,hsa_circ_0089776,3386
hsa-miR-1827,hsa_circ_0052415,3383
hsa-miR-1236-3p,hsa_circ_0013870,3366
hsa-miR-484,hsa_circ_0013870,3360
hsa-miR-3612,hsa_circ_0052415,3344
hsa-miR-6860,hsa_circ_0082878,3338
hsa-miR-612,hsa_circ_0082878,3336
hsa-miR-219a-1-3p,hsa_circ_0013870,3322
hsa-miR-219a-1-3p,hsa_circ_0013871,3322
hsa-miR-6785-5p,hsa_circ_0037995,3322
hsa-miR-4640-5p,hsa_circ_0044524,3314
hsa-miR-6803-3p,hsa_circ_0020316,3310
hsa-miR-4667-3p,hsa_circ_0014209,3300
hsa-miR-4667-3p,hsa_circ_0014210,3300
hsa-miR-4739,hsa_circ_0002172,3296
hsa-miR-4739,hsa_circ_0089776,3296
hsa-miR-619-5p,hsa_circ_0062544,3290
hsa-miR-619-5p,hsa_circ_0027022,3286
hsa-miR-4778-3p,hsa_circ_0013869,3255
hsa-miR-181b-5p,hsa_circ_0073778,3234
hsa-miR-181b-5p,hsa_circ_0073779,3234
hsa-miR-4726-5p,hsa_circ_0044517,3233
hsa-miR-6756-5p,hsa_circ_0002172,3183
hsa-miR-3941,hsa_circ_0041122,3175
hsa-miR-6785-5p,hsa_circ_0037996,3170
hsa-miR-6785-5p,hsa_circ_0037997,3170
hsa-miR-4640-5p,hsa_circ_0044517,3162
hsa-miR-6780a-5p,hsa_circ_0002172,3156
hsa-miR-6780a-5p,hsa_circ_0089776,3156
hsa-miR-4640-5p,hsa_circ_0044529,3147
hsa-miR-4640-5p,hsa_circ_0044536,3147
hsa-miR-6887-5p,hsa_circ_0037995,3140
hsa-miR-6791-3p,hsa_circ_0085899,3138
hsa-miR-6791-3p,hsa_circ_0085900,3138
hsa-miR-7106-5p,hsa_circ_0041089,3135
hsa-miR-7106-5p,hsa_circ_0041099,3135
hsa-miR-7106-5p,hsa_circ_0041116,3135
hsa-miR-4530,hsa_circ_0044511,3133
hsa-miR-4530,hsa_circ_0044512,3133
hsa-miR-4530,hsa_circ_0044519,3133
hsa-miR-181b-5p,hsa_circ_0035135,3124
hsa-miR-181b-5p,hsa_circ_0035136,3124
hsa-miR-181b-5p,hsa_circ_0035139,3124
hsa-miR-3187-5p,hsa_circ_0082878,3119
hsa-miR-5001-5p,hsa_circ_0048499,3115
hsa-miR-8059,hsa_circ_0041089,3078
hsa-miR-8059,hsa_circ_0041099,3078
hsa-miR-8059,hsa_circ_0041116,3078
hsa-miR-4749-3p,hsa_circ_0014209,3067
hsa-miR-4749-3p,hsa_circ_0014210,3067
hsa-miR-6871-3p,hsa_circ_0020316,3067
hsa-miR-6842-5p,hsa_circ_0002172,3062
hsa-miR-1277-5p,hsa_circ_0079477,3048
hsa-miR-1277-5p,hsa_circ_0079478,3048
hsa-miR-6860,hsa_circ_0082879,3032
hsa-miR-612,hsa_circ_0082879,3031
hsa-miR-6756-5p,hsa_circ_0089776,3029
hsa-miR-4763-3p,hsa_circ_0089547,3027
hsa-miR-619-5p,hsa_circ_0077011,3013
hsa-miR-190a-3p,hsa_circ_0000215,3004
hsa-miR-4726-5p,hsa_circ_0081091,2999
hsa-miR-4640-5p,hsa_circ_0044526,2995
hsa-miR-4726-5p,hsa_circ_0081111,2993
hsa-miR-6887-5p,hsa_circ_0037996,2989
hsa-miR-6887-5p,hsa_circ_0037997,2989
hsa-miR-4640-5p,hsa_circ_0044528,2985
hsa-miR-4640-5p,hsa_circ_0044535,2985
hsa-miR-4530,hsa_circ_0044510,2975
hsa-miR-1207-5p,hsa_circ_0082878,2970
hsa-miR-1207-5p,hsa_circ_0082879,2970
hsa-miR-181d-5p,hsa_circ_0035135,2967
hsa-miR-181d-5p,hsa_circ_0035136,2967
hsa-miR-181d-5p,hsa_circ_0035139,2967
hsa-miR-7152-3p,hsa_circ_0055230,2958
hsa-miR-7152-3p,hsa_circ_0055233,2958
hsa-miR-7152-3p,hsa_circ_0055235,2958
hsa-miR-7152-3p,hsa_circ_0055236,2958
hsa-miR-7152-3p,hsa_circ_0055237,2958
hsa-miR-7152-3p,hsa_circ_0055239,2958
hsa-miR-1277-5p,hsa_circ_0000215,2956
hsa-miR-6797-5p,hsa_circ_0002172,2953
hsa-miR-6797-5p,hsa_circ_0089776,2953
hsa-miR-6721-5p,hsa_circ_0082878,2937
hsa-miR-6721-5p,hsa_circ_0082879,2937
hsa-miR-6870-3p,hsa_circ_0013876,2934
hsa-miR-5582-5p,hsa_circ_0041122,2932
hsa-miR-6731-5p,hsa_circ_0037995,2932
hsa-miR-6731-5p,hsa_circ_0037996,2932
hsa-miR-6731-5p,hsa_circ_0037997,2932
hsa-miR-6883-5p,hsa_circ_0037995,2924
hsa-miR-6883-5p,hsa_circ_0037996,2924
hsa-miR-6832-3p,hsa_circ_0013876,2908
hsa-miR-6752-3p,hsa_circ_0079155,2905
hsa-miR-6842-5p,hsa_circ_0089776,2905
hsa-miR-574-5p,hsa_circ_0089837,2900
hsa-miR-574-5p,hsa_circ_0089839,2900
hsa-miR-6810-3p,hsa_circ_0079155,2900
hsa-miR-4726-5p,hsa_circ_0044508,2896
hsa-miR-4726-5p,hsa_circ_0044515,2896
hsa-miR-4726-5p,hsa_circ_0044516,2896
hsa-miR-619-5p,hsa_circ_0041843,2891
hsa-miR-4726-5p,hsa_circ_0044528,2888
hsa-miR-4726-5p,hsa_circ_0044535,2888
hsa-miR-4726-5p,hsa_circ_0044543,2872
hsa-miR-4726-5p,hsa_circ_0044549,2872
hsa-miR-4719,hsa_circ_0041122,2871
hsa-miR-378g,hsa_circ_0048499,2845
hsa-miR-4640-5p,hsa_circ_0044521,2844
hsa-miR-6873-3p,hsa_circ_0089792,2837
hsa-miR-4640-5p,hsa_circ_0044527,2828
hsa-miR-4640-5p,hsa_circ_0044534,2828
hsa-miR-4640-5p,hsa_circ_0044539,2824
hsa-miR-4530,hsa_circ_0044509,2823
hsa-miR-4530,hsa_circ_0044518,2823
hsa-miR-4530,hsa_circ_0044520,2823
hsa-miR-190a-3p,hsa_circ_0057112,2821
hsa-miR-5001-5p,hsa_circ_0013876,2820
hsa-miR-4530,hsa_circ_0044522,2814
hsa-miR-4530,hsa_circ_0044524,2814
hsa-miR-3187-5p,hsa_circ_0082879,2805
hsa-miR-190a-3p,hsa_circ_0089771,2800
hsa-miR-4778-3p,hsa_circ_0013874,2784
hsa-miR-6797-5p,hsa_circ_0037995,2777
hsa-miR-6797-5p,hsa_circ_0037996,2777
hsa-miR-6797-5p,hsa_circ_0037997,2777
hsa-miR-4723-5p,hsa_circ_0037995,2768
hsa-miR-4723-5p,hsa_circ_0037996,2768
hsa-miR-4723-5p,hsa_circ_0037997,2768
hsa-miR-6883-5p,hsa_circ_0037997,2762
hsa-miR-4726-5p,hsa_circ_0044521,2761
hsa-miR-4726-5p,hsa_circ_0044526,2753
hsa-miR-4733-3p,hsa_circ_0044512,2752
hsa-miR-4733-3p,hsa_circ_0044522,2752
hsa-miR-4733-3p,hsa_circ_0044524,2752
hsa-miR-6758-5p,hsa_circ_0039600,2748
hsa-miR-6758-5p,hsa_circ_0039603,2748
hsa-miR-6758-5p,hsa_circ_0039604,2748
hsa-miR-6758-5p,hsa_circ_0039605,2748
hsa-miR-6758-5p,hsa_circ_0039606,2748
hsa-miR-5698,hsa_circ_0037995,2739
hsa-miR-5698,hsa_circ_0037996,2739
hsa-miR-5698,hsa_circ_0037997,2739
hsa-miR-4726-5p,hsa_circ_0044507,2731
hsa-miR-4726-5p,hsa_circ_0044527,2730
hsa-miR-4726-5p,hsa_circ_0044539,2729
hsa-miR-6836-5p,hsa_circ_0082878,2726
hsa-miR-6836-5p,hsa_circ_0082879,2726
hsa-miR-6815-3p,hsa_circ_0055230,2723
hsa-miR-6815-3p,hsa_circ_0055233,2723
hsa-miR-6815-3p,hsa_circ_0055235,2723
hsa-miR-6815-3p,hsa_circ_0055236,2723
hsa-miR-6815-3p,hsa_circ_0055237,2723
hsa-miR-6815-3p,hsa_circ_0055239,2723
hsa-miR-484,hsa_circ_0013876,2720
hsa-miR-6752-5p,hsa_circ_0041089,2720
hsa-miR-6752-5p,hsa_circ_0041099,2720
hsa-miR-6752-5p,hsa_circ_0041116,2720
hsa-miR-135b-3p,hsa_circ_0013876,2718
hsa-miR-1976,hsa_circ_0079155,2715
hsa-miR-1273h-5p,hsa_circ_0019789,2713
hsa-miR-1273h-5p,hsa_circ_0019793,2713
hsa-miR-1273h-5p,hsa_circ_0019795,2713
hsa-miR-1273h-5p,hsa_circ_0019796,2713
hsa-miR-6829-3p,hsa_circ_0085899,2705
hsa-miR-6829-3p,hsa_circ_0085900,2705
hsa-miR-4640-5p,hsa_circ_0044508,2703
hsa-miR-4640-5p,hsa_circ_0044515,2703
hsa-miR-4640-5p,hsa_circ_0044516,2703
hsa-miR-6888-3p,hsa_circ_0089792,2697
hsa-miR-4726-5p,hsa_circ_0081116,2686
hsa-miR-1277-5p,hsa_circ_0068783,2683
hsa-miR-6756-5p,hsa_circ_0039097,2682
hsa-miR-3620-5p,hsa_circ_0048499,2678
hsa-miR-197-5p,hsa_circ_0005180,2675
hsa-miR-197-5p,hsa_circ_0017180,2675
hsa-miR-197-5p,hsa_circ_0017181,2675
hsa-miR-197-5p,hsa_circ_0017182,2675
hsa-miR-197-5p,hsa_circ_0017183,2675
hsa-miR-197-5p,hsa_circ_0017184,2675
hsa-miR-4726-5p,hsa_circ_0089429,2674
hsa-miR-4726-5p,hsa_circ_0089440,2674
hsa-miR-4726-5p,hsa_circ_0089445,2674
hsa-miR-4530,hsa_circ_0044529,2656
hsa-miR-4530,hsa_circ_0044535,2656
hsa-miR-4530,hsa_circ_0044536,2656
hsa-miR-181b-5p,hsa_circ_0035141,2655
hsa-miR-6831-5p,hsa_circ_0005180,2645
hsa-miR-6831-5p,hsa_circ_0017180,2645
hsa-miR-6831-5p,hsa_circ_0017181,2645
hsa-miR-6831-5p,hsa_circ_0017182,2645
hsa-miR-6831-5p,hsa_circ_0017183,2645
hsa-miR-6831-5p,hsa_circ_0017184,2645
hsa-miR-181d-5p,hsa_circ_0035141,2643
hsa-miR-4691-5p,hsa_circ_0013876,2633
hsa-miR-466,hsa_circ_0041122,2632
hsa-miR-4716-3p,hsa_circ_0037995,2631
hsa-miR-1184,hsa_circ_0085900,2624
hsa-miR-619-5p,hsa_circ_0076600,2613
hsa-miR-1277-5p,hsa_circ_0047786,2609
hsa-miR-181d-5p,hsa_circ_0073786,2608
hsa-miR-181d-5p,hsa_circ_0073783,2607
hsa-miR-181d-5p,hsa_circ_0073784,2607
hsa-miR-5011-5p,hsa_circ_0047786,2605
hsa-miR-1236-3p,hsa_circ_0013876,2603
hsa-miR-4733-3p,hsa_circ_0044519,2602
hsa-miR-4733-3p,hsa_circ_0044529,2596
hsa-miR-4726-5p,hsa_circ_0044534,2580
hsa-miR-6803-5p,hsa_circ_0038404,2577
hsa-miR-3925-3p,hsa_circ_0052123,2562
hsa-miR-4644,hsa_circ_0039600,2554
hsa-miR-4644,hsa_circ_0039603,2554
hsa-miR-4644,hsa_circ_0039604,2554
hsa-miR-4644,hsa_circ_0039605,2554
hsa-miR-4644,hsa_circ_0039606,2554
hsa-miR-5189-5p,hsa_circ_0082878,2545
hsa-miR-4640-5p,hsa_circ_0044507,2544
hsa-miR-297,hsa_circ_0083771,2535
hsa-miR-297,hsa_circ_0083773,2535
hsa-miR-297,hsa_circ_0083774,2535
hsa-miR-297,hsa_circ_0083776,2535
hsa-miR-297,hsa_circ_0083778,2535
hsa-miR-297,hsa_circ_0007286,2534
hsa-miR-3064-3p,hsa_circ_0052115,2530
hsa-miR-4640-5p,hsa_circ_0044523,2529
hsa-miR-3925-3p,hsa_circ_0016756,2528
hsa-miR-6722-3p,hsa_circ_0089547,2525
hsa-miR-762,hsa_circ_0039097,2523
hsa-miR-4726-5p,hsa_circ_0065408,2521
hsa-miR-4530,hsa_circ_0044517,2520
hsa-miR-4530,hsa_circ_0081091,2520
hsa-miR-4530,hsa_circ_0081111,2520
hsa-miR-646,hsa_circ_0013869,2520
hsa-miR-4685-3p,hsa_circ_0065399,2517
hsa-miR-4685-3p,hsa_circ_0065400,2517
hsa-miR-4685-3p,hsa_circ_0065401,2517
hsa-miR-4685-3p,hsa_circ_0065402,2517
hsa-miR-4685-3p,hsa_circ_0065403,2517
hsa-miR-4685-3p,hsa_circ_0065404,2517
hsa-miR-615-5p,hsa_circ_0065400,2516
hsa-miR-615-5p,hsa_circ_0065401,2516
hsa-miR-615-5p,hsa_circ_0065402,2516
hsa-miR-615-5p,hsa_circ_0065403,2516
hsa-miR-615-5p,hsa_circ_0065404,2516
hsa-miR-6753-5p,hsa_circ_0044512,2515
hsa-miR-4640-5p,hsa_circ_0044533,2514
hsa-miR-4640-5p,hsa_circ_0044543,2514
hsa-miR-4640-5p,hsa_circ_0044549,2514
hsa-miR-4726-5p,hsa_circ_0081063,2510
hsa-miR-4726-5p,hsa_circ_0081065,2510
hsa-miR-4726-5p,hsa_circ_0081066,2510
hsa-miR-6722-3p,hsa_circ_0082878,2500
hsa-miR-4530,hsa_circ_0044528,2498
hsa-miR-6838-5p,hsa_circ_0052415,2495
hsa-miR-466,hsa_circ_0089792,2493
hsa-miR-181b-5p,hsa_circ_0035143,2491
hsa-miR-4716-3p,hsa_circ_0037996,2476
hsa-miR-4716-3p,hsa_circ_0037997,2476
hsa-miR-4778-3p,hsa_circ_0013873,2476
hsa-miR-1184,hsa_circ_0085899,2471
hsa-miR-3925-3p,hsa_circ_0052115,2465
hsa-miR-6881-3p,hsa_circ_0013869,2465
hsa-miR-181d-5p,hsa_circ_0073785,2455
hsa-miR-181b-5p,hsa_circ_0073786,2454
hsa-miR-181b-5p,hsa_circ_0073783,2453
hsa-miR-181b-5p,hsa_circ_0073784,2453
hsa-miR-526b-5p,hsa_circ_0038404,2452
hsa-miR-4733-3p,hsa_circ_0044511,2451
hsa-miR-6732-5p,hsa_circ_0005180,2450
hsa-miR-6732-5p,hsa_circ_0017180,2450
hsa-miR-6732-5p,hsa_circ_0017181,2450
hsa-miR-6732-5p,hsa_circ_0017182,2450
hsa-miR-6732-5p,hsa_circ_0017183,2450
hsa-miR-6732-5p,hsa_circ_0017184,2450
hsa-miR-5196-5p,hsa_circ_0037995,2449
hsa-miR-5196-5p,hsa_circ_0037996,2449
hsa-miR-5196-5p,hsa_circ_0037997,2449
hsa-miR-4733-3p,hsa_circ_0044535,2446
hsa-miR-4733-3p,hsa_circ_0044536,2446
hsa-miR-181d-5p,hsa_circ_0073782,2443
hsa-miR-619-5p,hsa_circ_0081678,2432
hsa-miR-6825-5p,hsa_circ_0002172,2432
hsa-miR-6825-5p,hsa_circ_0089776,2432
hsa-miR-7111-5p,hsa_circ_0052415,2432
hsa-miR-4726-5p,hsa_circ_0044523,2427
hsa-miR-219a-1-3p,hsa_circ_0013876,2416
hsa-miR-5193,hsa_circ_0062544,2416
hsa-miR-4726-5p,hsa_circ_0044505,2408
